date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:38	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Oct%202018%2000:07:52%20GMT	http://wireless-experts.com/index.html	/Users/macadmin/websites/test2/wireless-experts.com/index.0.delayed	(from )
17:08:39	9915/9915	---M-Z	200	added ('OK')	text/html	etag:%22b460082-2521-56eb346a01a46-gzip%22	https://wireless-experts.com/index.html	/Users/macadmin/websites/test2/wireless-experts.com/index.html	(from )
17:08:40	249/249	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Oct%202018%2000:07:54%20GMT	http://wireless-experts.com/sitemap.html	/Users/macadmin/websites/test2/wireless-experts.com/sitemap.html	(from )
17:08:41	65472/65472	---MCZ	200	added ('OK')	text/html	etag:%22b4600de-fe26-56eb3494c9233-gzip%22	https://wireless-experts.com/sitemap.html	/Users/macadmin/websites/test2/wireless-experts.com/sitemap.html	(from )
17:08:42	2346/2346	---M-Z	404	error ('Not%20Found')	text/html	etag:%22b460023-1824-56eb3452d8665-gzip%22	https://wireless-experts.com/robots.txt		(from )
17:08:43	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22b4e1145-47e-56eb373060ee7%22	https://wireless-experts.com/images/Others/favicon/favicon.ico	/Users/macadmin/websites/test2/wireless-experts.com/images/Others/favicon/favicon.ico	(from https://wireless-experts.com/index.html)
17:08:45	152767/152767	---M--	200	added ('OK')	text/css	etag:%22b4c1580-254bf-56eb34a2337d0%22	https://wireless-experts.com/css/bootstrap-3.3.7.css	/Users/macadmin/websites/test2/wireless-experts.com/css/bootstrap-3.3.7.css	(from https://wireless-experts.com/index.html)
17:08:46	5250/5250	---M--	200	added ('OK')	text/css	etag:%22b4c1562-1482-56eb34a5a8bfa%22	https://wireless-experts.com/css/main.css	/Users/macadmin/websites/test2/wireless-experts.com/css/main.css	(from https://wireless-experts.com/index.html)
17:08:46	11675/11675	---M--	200	added ('OK')	application/javascript	etag:%22b56192c-2d9b-56eb34fce473d%22	https://wireless-experts.com/SpryAssets/SpryTabbedPanels.js	/Users/macadmin/websites/test2/wireless-experts.com/SpryAssets/SpryTabbedPanels.js	(from https://wireless-experts.com/index.html)
17:08:47	9839/9839	---M--	200	added ('OK')	text/css	etag:%22b561927-266f-56eb34fc8154a%22	https://wireless-experts.com/SpryAssets/SpryTabbedPanels.css	/Users/macadmin/websites/test2/wireless-experts.com/SpryAssets/SpryTabbedPanels.css	(from https://wireless-experts.com/index.html)
17:08:48	928/928	---M--	200	added ('OK')	text/css	etag:%22b5618cc-3a0-56eb34edddfd4%22	https://wireless-experts.com/jQueryAssets/jquery.ui.core.min.css	/Users/macadmin/websites/test2/wireless-experts.com/jQueryAssets/jquery.ui.core.min.css	(from https://wireless-experts.com/index.html)
17:08:49	13872/13872	---M--	200	added ('OK')	text/css	etag:%22b5618d1-3630-56eb34eecc843%22	https://wireless-experts.com/jQueryAssets/jquery.ui.theme.min.css	/Users/macadmin/websites/test2/wireless-experts.com/jQueryAssets/jquery.ui.theme.min.css	(from https://wireless-experts.com/index.html)
17:08:50	651/651	---M--	200	added ('OK')	text/css	etag:%22b560046-28b-56eb34ed7b1c9%22	https://wireless-experts.com/jQueryAssets/jquery.ui.accordion.min.css	/Users/macadmin/websites/test2/wireless-experts.com/jQueryAssets/jquery.ui.accordion.min.css	(from https://wireless-experts.com/index.html)
17:08:52	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Oct%202018%2000:08:07%20GMT	https://cse.google.com/cse.js?cx=	/Users/macadmin/websites/test2/cse.google.com/cse.c07b6.delayed	(from https://wireless-experts.com/index.html)
17:08:54	130676/130676	---M--	200	added ('OK')	application/javascript	etag:%22b561907-1fe74-56eb34f6651c4%22	https://wireless-experts.com/MyMenu3/MyMenu3.js	/Users/macadmin/websites/test2/wireless-experts.com/MyMenu3/MyMenu3.js	(from https://wireless-experts.com/index.html)
17:08:55	72084/72084	---M--	200	added ('OK')	application/javascript	etag:%22b56002e-11994-56eb34ef626b7%22	https://wireless-experts.com/js/bootstrap-3.3.7.js	/Users/macadmin/websites/test2/wireless-experts.com/js/bootstrap-3.3.7.js	(from https://wireless-experts.com/index.html)
17:08:55	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	/Users/macadmin/websites/test2/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://wireless-experts.com/index.html)
17:08:56	14477/14477	---M-Z	200	added ('OK')	text/html	etag:%22b4600cd-36f3-56eb348da194c-gzip%22	https://wireless-experts.com/PTS4077F.html	/Users/macadmin/websites/test2/wireless-experts.com/PTS4077F.html	(from https://wireless-experts.com/index.html)
17:08:59	9695/9695	---M-Z	200	added ('OK')	text/html	etag:%22b4600c0-2445-56eb34880f0ea-gzip%22	https://wireless-experts.com/PIM-21B.html	/Users/macadmin/websites/test2/wireless-experts.com/PIM-21B.html	(from https://wireless-experts.com/index.html)
17:09:00	807784/807784	---M--	200	added ('OK')	image/png	etag:%22b561306-c5368-56eb36d5736d4%22	https://wireless-experts.com/images/png/PTS-4077F_carousel.png	/Users/macadmin/websites/test2/wireless-experts.com/images/png/PTS-4077F_carousel.png	(from https://wireless-experts.com/index.html)
17:09:01	19215/19215	---M-Z	200	added ('OK')	text/html	etag:%22b4600bc-4975-56eb3486d93d9-gzip%22	https://wireless-experts.com/phLCDTv&MP.html	/Users/macadmin/websites/test2/wireless-experts.com/phLCDTv&MP.html	(from https://wireless-experts.com/index.html)
17:09:04	12145/12145	---M-Z	200	added ('OK')	text/html	etag:%22b460075-2dd7-56eb346462e93-gzip%22	https://wireless-experts.com/government.html	/Users/macadmin/websites/test2/wireless-experts.com/government.html	(from https://wireless-experts.com/index.html)
17:09:05	484125/484125	---M--	200	added ('OK')	image/png	etag:%22b560190-7631d-56eb36bebfdcf%22	https://wireless-experts.com/images/png/PHLCD_carousel.png	/Users/macadmin/websites/test2/wireless-experts.com/images/png/PHLCD_carousel.png	(from https://wireless-experts.com/index.html)
17:09:05	526463/526463	---M--	200	added ('OK')	image/png	etag:%22b560198-8087f-56eb36c43ca87%22	https://wireless-experts.com/images/png/PIM21B_carousel.png	/Users/macadmin/websites/test2/wireless-experts.com/images/png/PIM21B_carousel.png	(from https://wireless-experts.com/index.html)
17:09:05	32215/32215	---M--	200	added ('OK')	image/jpeg	etag:%22b4e1119-7dd7-56eb35103743e%22	https://wireless-experts.com/images/jpg/govtSystemsPicture.jpg	/Users/macadmin/websites/test2/wireless-experts.com/images/jpg/govtSystemsPicture.jpg	(from https://wireless-experts.com/index.html)
17:09:06	11796/11796	---M-Z	200	added ('OK')	text/html	etag:%22b460071-2c7a-56eb3462cbecf-gzip%22	https://wireless-experts.com/education.html	/Users/macadmin/websites/test2/wireless-experts.com/education.html	(from https://wireless-experts.com/index.html)
17:09:07	13201/13201	---M--	200	added ('OK')	image/jpeg	etag:%22b4e1116-3391-56eb350efc13d%22	https://wireless-experts.com/images/jpg/eduSystemsPicture.jpg	/Users/macadmin/websites/test2/wireless-experts.com/images/jpg/eduSystemsPicture.jpg	(from https://wireless-experts.com/index.html)
17:09:08	11796/11796	---M-Z	200	added ('OK')	text/html	etag:%22b460064-2c7a-56eb345d10dfb-gzip%22	https://wireless-experts.com/corporate.html	/Users/macadmin/websites/test2/wireless-experts.com/corporate.html	(from https://wireless-experts.com/index.html)
17:09:09	24435/24435	---M--	200	added ('OK')	image/jpeg	etag:%22b4e1111-5f73-56eb350d5d091%22	https://wireless-experts.com/images/jpg/corporateSystemsPicture.jpg	/Users/macadmin/websites/test2/wireless-experts.com/images/jpg/corporateSystemsPicture.jpg	(from https://wireless-experts.com/index.html)
17:09:10	12426/12426	---M-Z	200	added ('OK')	text/html	etag:%22b4600d3-2ef0-56eb34900eadf-gzip%22	https://wireless-experts.com/residential.html	/Users/macadmin/websites/test2/wireless-experts.com/residential.html	(from https://wireless-experts.com/index.html)
17:09:11	27406/27406	---M--	200	added ('OK')	image/jpeg	etag:%22b4e1130-6b0e-56eb35166ce05%22	https://wireless-experts.com/images/jpg/resiSystemsPicture.jpg	/Users/macadmin/websites/test2/wireless-experts.com/images/jpg/resiSystemsPicture.jpg	(from https://wireless-experts.com/index.html)
17:09:12	11811/11811	---M-Z	200	added ('OK')	text/html	etag:%22b46007e-2c89-56eb346860a59-gzip%22	https://wireless-experts.com/hospitality.html	/Users/macadmin/websites/test2/wireless-experts.com/hospitality.html	(from https://wireless-experts.com/index.html)
17:09:13	19062/19062	---M--	200	added ('OK')	image/jpeg	etag:%22b4e111c-4a76-56eb3511068ac%22	https://wireless-experts.com/images/jpg/hospitalitySystemsPicture.jpg	/Users/macadmin/websites/test2/wireless-experts.com/images/jpg/hospitalitySystemsPicture.jpg	(from https://wireless-experts.com/index.html)
17:09:14	12133/12133	---M-Z	200	added ('OK')	text/html	etag:%22b46007f-2dcb-56eb3468c7acc-gzip%22	https://wireless-experts.com/how.html	/Users/macadmin/websites/test2/wireless-experts.com/how.html	(from https://wireless-experts.com/index.html)
17:09:15	32605/32605	---M--	200	added ('OK')	image/jpeg	etag:%22b4e111d-7f5d-56eb351181970%22	https://wireless-experts.com/images/jpg/howSystemsPicture.jpg	/Users/macadmin/websites/test2/wireless-experts.com/images/jpg/howSystemsPicture.jpg	(from https://wireless-experts.com/index.html)
17:09:16	12161/12161	---M-Z	200	added ('OK')	text/html	etag:%22b460065-2de7-56eb345d5c11d-gzip%22	https://wireless-experts.com/culturalandevents.html	/Users/macadmin/websites/test2/wireless-experts.com/culturalandevents.html	(from https://wireless-experts.com/index.html)
17:09:17	41705/41705	---M--	200	added ('OK')	image/jpeg	etag:%22b4e1110-a2e9-56eb350cef2be%22	https://wireless-experts.com/images/jpg/ceSystemsPicture.jpg	/Users/macadmin/websites/test2/wireless-experts.com/images/jpg/ceSystemsPicture.jpg	(from https://wireless-experts.com/index.html)
17:09:18	11478/11478	---M-Z	200	added ('OK')	text/html	etag:%22b46007c-2b3c-56eb34678df3b-gzip%22	https://wireless-experts.com/healthcare.html	/Users/macadmin/websites/test2/wireless-experts.com/healthcare.html	(from https://wireless-experts.com/index.html)
17:09:19	22651/22651	---M--	200	added ('OK')	image/jpeg	etag:%22b4e111a-587b-56eb35109d129%22	https://wireless-experts.com/images/jpg/hcSystemsPicture.jpg	/Users/macadmin/websites/test2/wireless-experts.com/images/jpg/hcSystemsPicture.jpg	(from https://wireless-experts.com/index.html)
17:09:20	29065/29065	---M--	200	added ('OK')	text/css	etag:%22b4c0ee8-7189-56eb34a4054fe%22	https://wireless-experts.com/css/font-awesome.min.css	/Users/macadmin/websites/test2/wireless-experts.com/css/font-awesome.min.css	(from https://wireless-experts.com/index.html)
17:09:21	2023/2023	---M--	200	added ('OK')	text/css	etag:%22b4c1560-7e7-56eb34a44e4f8%22	https://wireless-experts.com/css/Footer-with-button-logo.css	/Users/macadmin/websites/test2/wireless-experts.com/css/Footer-with-button-logo.css	(from https://wireless-experts.com/index.html)
17:09:22	37376/37376	---M--	200	added ('OK')	image/png	etag:%22b56019f-9200-56eb36c5811f8%22	https://wireless-experts.com/images/png/pragmatic03.png	/Users/macadmin/websites/test2/wireless-experts.com/images/png/pragmatic03.png	(from https://wireless-experts.com/index.html)
17:09:23	33012/33012	---M-Z	200	added ('OK')	text/html	etag:%22b4600d1-7f5a-56eb348f5c361-gzip%22	https://wireless-experts.com/reseller.html	/Users/macadmin/websites/test2/wireless-experts.com/reseller.html	(from https://wireless-experts.com/index.html)
17:09:24	20946/20946	---M-Z	200	added ('OK')	text/html	etag:%22b4600ce-5038-56eb348e09d47-gzip%22	https://wireless-experts.com/quote.html	/Users/macadmin/websites/test2/wireless-experts.com/quote.html	(from https://wireless-experts.com/index.html)
